Date,Timestamp,Num_Epochs,Learning Rate,# Hidden Layers,Hidden Layer Structure,Epoch,Avg. Raw Train Error,Avg. Ripe Train Error,Avg. Real Train Error
2020/03/08,16:01:09,1,0.750000,2,'10-10,2020/03/08,16:01:52,1,0.750000,2,'10-10,2020/03/08,16:02:18,1,0.750000,2,'10-10,1,7.964816,7.950000,1.700000
2020/03/08,16:06:35,1,0.750000,2,'10-10,2020/03/08,16:07:17,1,0.750000,2,'10-10,1,2.417985,2.550000,1.722222
2020/03/08,16:09:40,1,0.750000,2,'10-10,1,2.256597,2.494444,1.877778
2020/03/08,16:24:55,1,0.750000,2,'10-10,1,11.260820,11.966667,1.788889
2020/03/08,16:25:30,3,0.750000,2,'10-10,1,1.726274,2.361111,1.955556
,,,,,,2,1.203793,1.883333,1.988889
,,,,,,3,1.205748,1.872222,2.011111
