Date,Timestamp,Training Method,Num_Epochs,Learning Rate,# Hidden Layers,Hidden Layer Structure,Epoch,Avg. Raw Train Error,Avg. Ripe Train Error,Avg. Real Train Error
2020/03/11,23:18:18,RMSprop,50,0.010000,5,'6-5-4-3-2,1,10.726469,13.453480,8.863004
,,,,,,,2,5.430555,6.976374,7.476190
,,,,,,,3,4.960927,6.541026,7.190842
,,,,,,,4,4.803513,6.520513,7.207692
,,,,,,,5,4.729988,6.498352,7.212088
,,,,,,,6,4.695252,6.499267,7.228205
,,,,,,,7,4.676210,6.497253,7.209158
,,,,,,,8,4.665704,6.496703,7.228938
,,,,,,,9,4.659859,6.496703,7.215751
,,,,,,,10,4.656504,6.496337,7.205495
,,,,,,,11,4.654527,6.495971,7.213553
,,,,,,,12,4.653336,6.496520,7.206227
,,,,,,,13,4.652605,6.496520,7.204029
,,,,,,,14,4.652150,6.496520,7.209890
,,,,,,,15,4.651865,6.495788,7.214286
,,,,,,,16,4.651685,6.496520,7.212821
,,,,,,,17,4.651572,6.496337,7.215751
,,,,,,,18,4.651502,6.496337,7.215751
,,,,,,,19,4.651459,6.496520,7.220147
,,,,,,,20,4.651433,6.496520,7.217949
,,,,,,,21,4.651419,6.496886,7.219414
,,,,,,,22,4.651413,6.496886,7.215751
,,,,,,,23,4.651411,6.496520,7.214286
,,,,,,,24,4.651412,6.496337,7.212088
,,,,,,,25,4.651414,6.496154,7.211355
,,,,,,,26,4.651418,6.496520,7.212088
,,,,,,,27,4.651423,6.496154,7.205495
,,,,,,,28,4.651428,6.496520,7.205495
,,,,,,,29,4.651433,6.496520,7.202564
,,,,,,,30,4.651438,6.496337,7.201832
,,,,,,,31,4.651443,6.496520,7.202564
,,,,,,,32,4.651448,6.496337,7.202564
,,,,,,,33,4.651453,6.496703,7.201832
,,,,,,,34,4.651458,6.496886,7.199634
,,,,,,,35,4.651462,6.497070,7.199634
,,,,,,,36,4.651466,6.497070,7.199634
,,,,,,,37,4.651470,6.497802,7.200366
,,,,,,,38,4.651474,6.497802,7.198901
,,,,,,,39,4.651478,6.497802,7.197436
,,,,,,,40,4.651482,6.497619,7.200366
,,,,,,,41,4.651485,6.497436,7.200366
,,,,,,,42,4.651489,6.497436,7.200366
,,,,,,,43,4.651492,6.497253,7.197436
,,,,,,,44,4.651495,6.497253,7.198168
,,,,,,,45,4.651498,6.497070,7.198168
,,,,,,,46,4.651501,6.497070,7.198168
,,,,,,,47,4.651504,6.496886,7.199634
,,,,,,,48,4.651506,6.497070,7.202564
,,,,,,,49,4.651509,6.496886,7.201099
,,,,,,,50,4.651511,6.496703,7.201832
