Date,Timestamp,Num_Epochs,Learning Rate,# Hidden Layers,Hidden Layer Structure,Epoch,Avg. Raw Error,Avg. Ripe Error,Avg. Real Error
2020/01/23,13:38:51,6,0.750000,4,'10-10-8-5,1,4.308093,5.219298,4.371930
,,,,,,2,2.836505,3.912281,4.207018
,,,,,,3,2.767384,3.845614,4.171930
,,,,,,4,2.738405,3.812281,4.084211
,,,,,,5,2.721910,3.812281,4.063158
,,,,,,6,2.711135,3.810526,4.056140
