Date,Timestamp,Num_Epochs,Learning Rate,# Hidden Layers,Hidden Layer Structure,Epoch,Avg. Raw Train Error,Avg. Ripe Train Error,Avg. Real Train Error
2020/02/03,16:34:14,6,0.750000,2,'10-5,1,3.309777,4.177193,4.385965
,,,,,,2,2.838763,3.915789,4.171930
,,,,,,3,2.771268,3.905263,4.221053
,,,,,,4,2.741312,3.877193,4.168421
,,,,,,5,2.724807,3.854386,4.136842
,,,,,,6,2.714486,3.843860,4.119298
2020/02/03,16:54:21,6,0.750000,2,'10-5,1,4.312452,5.015789,4.371930
,,,,,,2,2.811708,3.715789,4.038596
,,,,,,3,2.699344,3.670175,3.922807
,,,,,,4,2.655189,3.649123,3.852632
,,,,,,5,2.633831,3.622807,3.824561
,,,,,,6,2.621986,3.600000,3.828070
2020/02/03,18:35:18,6,0.750000,3,'10-10-8,1,4.378459,4.819298,4.536842
,,,,,,2,3.021299,3.887719,4.350877
,,,,,,3,2.901925,3.775439,4.217544
,,,,,,4,2.853085,3.761404,4.143860
,,,,,,5,2.827780,3.756140,4.094737
,,,,,,6,2.812049,3.759649,4.108772
2020/02/03,19:12:15,6,0.750000,4,'4-3-2-1,1,2.992097,4.182456,4.259649
,,,,,,2,2.647110,3.689474,3.968421
,,,,,,3,2.608166,3.603509,3.838596
,,,,,,4,2.580560,3.522807,3.800000
,,,,,,5,2.560561,3.482456,3.750877
,,,,,,6,2.545910,3.435088,3.800000
2020/02/03,19:25:26,6,0.750000,4,'10-10-8-5,1,3.707236,4.501754,4.694737
,,,,,,2,2.903166,3.892982,4.238596
,,,,,,3,2.795341,3.812281,4.161404
,,,,,,4,2.747092,3.733333,3.978947
,,,,,,5,2.721321,3.694737,3.936842
,,,,,,6,2.705779,3.664912,3.933333
2020/02/03,21:48:29,6,0.750000,3,'10-4-2,1,3.005173,4.033333,4.105263
,,,,,,2,2.666476,3.678947,3.856140
,,,,,,3,2.616892,3.608772,3.803509
,,,,,,4,2.593477,3.571930,3.838596
,,,,,,5,2.580828,3.536842,3.859649
,,,,,,6,2.573269,3.524561,3.838596
2020/02/03,22:35:41,6,0.750000,3,'10-3-5,1,3.970853,4.726316,4.642105
,,,,,,2,2.876707,3.884211,4.112281
,,,,,,3,2.773278,3.791228,4.108772
,,,,,,4,2.729696,3.729825,4.014035
,,,,,,5,2.707293,3.710526,4.000000
,,,,,,6,2.694365,3.687719,3.957895
2020/02/04,09:41:01,6,0.750000,5,'5-4-3-2-2,1,3.067044,4.249123,4.168421
,,,,,,2,2.641100,3.722807,3.992982
,,,,,,3,2.605909,3.663158,4.021053
,,,,,,4,2.585165,3.629825,3.957895
,,,,,,5,2.573267,3.601754,3.933333
,,,,,,6,2.566524,3.582456,3.926316
2020/02/04,11:57:14,6,0.750000,3,'6-4-2,1,3.332630,4.373684,4.171930
,,,,,,2,2.687774,3.850877,4.038596
,,,,,,3,2.631323,3.789474,3.985965
,,,,,,4,2.597075,3.731579,3.936842
,,,,,,5,2.573987,3.691228,3.887719
,,,,,,6,2.558133,3.664912,3.859649
2020/02/04,12:05:49,6,0.750000,3,'6-4-2,1,2.996989,4.059649,4.214035
,,,,,,2,2.689515,3.726316,3.968421
,,,,,,3,2.646728,3.638596,3.915789
,,,,,,4,2.624200,3.617544,3.884211
,,,,,,5,2.610566,3.592982,3.915789
,,,,,,6,2.601384,3.570175,3.912281
2020/03/08,16:28:01,3,0.750000,2,'10-10,1,4.934418,5.780702,4.417544
,,,,,,2,2.931272,3.857895,4.312281
,,,,,,3,2.913532,3.842105,4.354386
2020/03/08,16:33:23,6,0.750000,2,'10-10,1,4.272683,5.219298,4.231579
,,,,,,2,2.862333,3.784211,4.129825
,,,,,,3,2.855516,3.784211,4.119298
,,,,,,4,2.850830,3.775439,4.101754
,,,,,,5,2.847288,3.780702,4.105263
,,,,,,6,2.844497,3.787719,4.101754
2020/03/08,16:40:03,6,0.750000,2,'10-10,1,3.836894,4.578947,4.203509
,,,,,,2,2.909515,3.680702,4.150877
,,,,,,3,2.892858,3.663158,4.196491
,,,,,,4,2.884284,3.657895,4.224561
,,,,,,5,2.877457,3.661404,4.207018
,,,,,,6,2.874124,3.664912,4.207018
2020/03/08,17:15:44,6,0.750000,2,'10-10,1,4.303299,5.210526,4.245614
,,,,,,2,2.897373,3.833333,4.185965
,,,,,,3,2.891837,3.836842,4.133333
,,,,,,4,2.884223,3.821053,4.143860
,,,,,,5,2.880014,3.831579,4.126316
,,,,,,6,2.876647,3.826316,4.126316
